"product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"B002WWF4IM","LOVE","Amy Berry","August 11, 2018",1,"Aqua",5,"We have been using this for 2 months and love it. It’s the best baby bath option I’ve ever used (tried 5 options before it) it’s so easy to use and it seems a lot more comfortable for baby.",,"https://www.amazon.com/gp/profile/amzn1.account.AHASRI3DBYQO3YFEKA7E3CT2LABA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHASRI3DBYQO3YFEKA7E3CT2LABA"
"B002WWF4IM","Five Stars","Kirsys Perez Espaillat","August 10, 2018",1,"White",5,"this is so functional.",,"https://www.amazon.com/gp/profile/amzn1.account.AERKDD6F7UJO45HOGI7KDU5WSXUQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AERKDD6F7UJO45HOGI7KDU5WSXUQ"
"B002WWF4IM","useful, soft, easy storage","Dina W","August 6, 2018",1,"Grey",5,"This has been so useful for the first few months of my sons life. I wish I had it for my other kids when they were infants. It fit in our TINY bathroom sink. It is just a joy to not have to bend down into the tub, and it is great how it's totally flat when you don't need it.  The best part, for me, is that I could bathe my infant while my toddlers were bathing in the big tub. A must have, the best infant bathing solution I've tried",,"https://www.amazon.com/gp/profile/amzn1.account.AHG3VDKS64FMCQS22TGWXSSIQJNA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHG3VDKS64FMCQS22TGWXSSIQJNA"
"B002WWF4IM","Does not fit a “wide variety” of sink sizes","Joel","August 2, 2018",1,"White",2,"This didn’t fit in any of our 3 sinks. None of our sinks are awkwardly sized, and the tub would be either too big, too small or too awkward in the sink. Our 11 week old baby is apparently too heavy for it as the tub won’t stay assembled even in our smallest sink (which matches the recommended size, by the way). Cool idea, poor execution, way too expensive to be so particular.",,"https://www.amazon.com/gp/profile/amzn1.account.AHVZVQ66ZH7ISD4MS5COZV7BWFKQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHVZVQ66ZH7ISD4MS5COZV7BWFKQ"
"B002WWF4IM","I love this thing it's much softer than I expected","Patrick Sportelli","July 23, 2018",1,"Grey",5,"I love this thing it's much softer than I expected. It's perfect for us because we don't have a lot of space. Cleans off and stores easily.",,"https://www.amazon.com/gp/profile/amzn1.account.AGKAGOARUM3CIOGUW5DRG5D7TCVQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGKAGOARUM3CIOGUW5DRG5D7TCVQ"
"B002WWF4IM","Do not buy or register for this tub.","Erin","July 15, 2018",0,"White",1,"This tub seemed like a great idea, and I’m so sorry my parents wasted their money buying this for our newborn. The magnets are a joke and cause the tub to collapse with the slightest baby movement. A tub this expensive and innovative shouldn’t require your sink to be an ideal size or your baby to stay stock still in order to work. We have been trying to make this work for three months and are so disappointed in this.",,"https://www.amazon.com/gp/profile/amzn1.account.AGQQKY2KPOXB4VOZURQU5LUKC73A/ref=cm_cr_arp_d_pdp?ie=UTF8","AGQQKY2KPOXB4VOZURQU5LUKC73A"
"B002WWF4IM","Perfect for minimal storage space","tl017","June 24, 2018",0,"White",4,"Pros:-Baby doesn't slide-Perfect if you don't have a ton of storage space - ours hangs flat in the shower-It's easy to use as bathing the baby in the sink is much easier until they can sit on their ownCons:-Magnets don't hold throughout bath time leading to more water draining then needed-I wish the drain holes were higher - with the baby in the tub sometimes it doesn't end up holding as much water as I'd like.",,"https://www.amazon.com/gp/profile/amzn1.account.AGWRMUVXGJWLVHPXB4HN5T2CZ3XA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGWRMUVXGJWLVHPXB4HN5T2CZ3XA"
"B002WWF4IM","Keeping it...","Beboo Dee","June 18, 2018",1,"Aqua",5,"Definitely a keeper",,"https://www.amazon.com/gp/profile/amzn1.account.AHZPXT4SRY453PR35R4J3VOJOZYQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHZPXT4SRY453PR35R4J3VOJOZYQ"
"B002WWF4IM","Best Baby tub ever.","Allison Wonderland","June 12, 2018",1,"Aqua",5,"I am in love with this tub.  It really is terrific post c-section, to avoid bending over a regular tub. My baby is now 7 weeks old, and she loves bath time in her Puj tub. I plop it easily into my kitchen sink, and it keeps her up close to me for mommy/baby bonding time.",,"https://www.amazon.com/gp/profile/amzn1.account.AFUGFGREIWE3PJV6FQYQMNWDJLGA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFUGFGREIWE3PJV6FQYQMNWDJLGA"
"B002WWF4IM","I would say it is nice to have but doesn't work well in large sinks ...","Amazon Customer","June 10, 2018",1,"Aqua",4,"This infant tub got such rave reviews that I thought it was a must buy. After owning it, however, I would say it is nice to have but doesn't work well in large sinks and at the same time is too large for our bathroom sinks. :( In our kitchen sink, it is a little too small and with our infant it would try to float and tip when he didn't weigh enough. This got his face wet and would upset him. We will use it again with our second son, but only because we already have it and it's convenient. Well built, easy to store & drys quickly.",,"https://www.amazon.com/gp/profile/amzn1.account.AHHUPEUD7WO6TY7KJ73PXLAAWBPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHHUPEUD7WO6TY7KJ73PXLAAWBPQ"
